id,title,description,type,release_year,genres,directors,actors
0,five came back: the reference films,"this collection includes 12 world war ii-era propaganda films — many of which are graphic and offensive — discussed in the docuseries ""five came back.""",show,1945,documentation,,
1,the blazing sun,"a rich landlord floods and destroys a village on purpose to prevent the people living there from making a profit off their crops. what he doesn't know is that his own daughter is in love with ahmed, a young man from the village.",movie,1954,crime|romance|drama,youssef-chahine,faten-hamamah|omar-sharif|zaki-rostom|farid-shawqi|abdel-warith-assir|ahmad-abdel-waress|hamdy-ghaith|abdel-ghani-kamar|zaki-ibrahim
2,white christmas,two talented song-and-dance men team up after the war to become one of the hottest acts in show business. in time they befriend and become romantically involved with the beautiful haynes sisters who comprise a sister act.,movie,1954,romance|comedy,michael-curtiz,bing-crosby|danny-kaye|rosemary-clooney|vera-ellen|dean-jagger|mary-wickes|john-brascia|anne-whitfield|bea-allen|frank-baker|glen-cargyle|george-chakiris|barrie-chase|lorinne-crawford|franklyn-farnum|bess-flowers|gavin-gordon|johnny-grant|percy-helton|i.-stanford-jolley|sig-ruman|grady-sutton|herb-vigran|robert-crosson
3,dark waters,"ragab, a poor sailor, returns home to alexandria after three years of absence, during which he tried to save money to marry his one true love, hamedah. but there's trouble on the harbor, and with an old friend.",movie,1956,action|drama|romance|thriller,youssef-chahine,omar-sharif|faten-hamamah|ahmed-ramzy|tewfik-el-dekn|ferdoos-mohammed|husain-reyadh
4,cairo station,"qinawi, a physically challenged peddler who makes his living selling newspapers in the central cairo train station, is obsessed by hanuma, an attractive young woman who sells drinks. while she jokes with him about a possible relationship, she is actually in love with abu siri, a strong and respected porter at the station who is struggling to unionize his fellow workers to combat their boss' exploitative and abusive treatment.",movie,1958,drama|crime|comedy,youssef-chahine,farid-shawqi|hind-rostom|youssef-chahine|hassan-el-baroudi|abdel-aziz-khalil|said-khalil|abdel-ghani-nagdi|loutfi-el-hakim|abdel-hamid-bodaoha|f.-el-demerdache|said-el-araby|ahmed-abaza|hana-abdel-fattah|safia-sarwat|asaad-kellada|naima-wasfy|sherine|soheir|esmat-mahmoud|nawal-morsi|gharib-moawad|mohamed-mazhar|galal-issa|mahrous-el-garhi|ahmed-el-tantawi|s.-abdel-aziz|nadia-lotfi|safia-tharwat
5,ujala,"an honest man dreams of a better life for his family, but a childhood friend leads him into a world of crime that keeps happiness just out of reach.",movie,1959,romance|crime|drama,,mala-sinha|shammi-kapoor|raaj-kumar|leela-chitnis|kumkum|dhumal|tun-tun|asrani|suresh
6,singapore,"when his employee disappears in singapore, shyam travels from india to investigate the absence and becomes entangled in a deadly plot.",movie,1960,drama|thriller|crime,shakti-samanta,shammi-kapoor|padmini|maria-menado|shashikala|agha
7,the guns of navarone,"a team of allied saboteurs are assigned an impossible mission: infiltrate an impregnable nazi-held island and destroy the two enormous long-range field guns that prevent the rescue of 2,000 trapped british soldiers.",movie,1961,action|drama|war,j.-lee-thompson,gregory-peck|david-niven|anthony-quinn|stanley-baker|anthony-quayle|james-darren|irene-papas|gia-scala|james-robertson-justice|richard-harris|bryan-forbes|allan-cuthbertson|michael-trubshawe|percy-herbert|george-mikell|walter-gotell|tutte-lemkow|albert-lieven|norman-wooland|kleo-skouloudi|nicholas-papakonstantinou|christopher-rhodes|william-hoehne-jr.
8,saladin the victorious,"saladin, the first sultan of egypt and syria, leads the muslim military campaign against the invading christians from europe during the third crusade.",movie,1963,action|drama|war|history|romance,youssef-chahine,ahmad-mazhar|nadia-lotfi|salah-zulfikar|leila-fawzi|hamdy-ghaith|laila-taher|omar-el-hariri|husain-reyadh|mahmoud-el-meliguy|zaki-toleimat|tewfik-el-dekn|mohamed-hamdy|mohamed-sultan|mohamed-abdel-gawad|sami-loutfi|ibrahim-emara|ahmed-louxor|salah-nazmi
9,the professionals,an arrogant texas millionaire hires four adventurers to rescue his kidnapped wife from a notorious mexican bandit.,movie,1966,western|action|european,richard-brooks,burt-lancaster|lee-marvin|robert-ryan|woody-strode|jack-palance|claudia-cardinale|ralph-bellamy|joe-de-santis|rafael-bertrand|jorge-martínez-de-hoyos|marie-gomez|josé-chávez|carlos-romero|vaughn-taylor|elizabeth-campbell|don-carlos|leigh-chapman|roberto-contreras|dirk-evans|darwin-lamb|eddie-little-sky|john-lopez|john-mckee|philip-l.-parslow|ron-veto
